,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,Time,Month,Year,cluster_num
0,2,0,1,0,22.14,25.76,77,16.9979,19,5,2012,1
1,0,0,1,0,28.7,33.335,79,19.0012,4,9,2012,1
2,1,0,1,0,5.74,6.06,50,22.0028,9,1,2011,2
3,3,0,1,0,13.94,16.665,29,8.9981,16,11,2011,2
4,0,0,1,0,30.34,33.335,51,19.0012,13,9,2011,0
5,0,0,1,0,33.62,12.12,36,22.0028,17,8,2012,2
6,3,0,0,0,24.6,29.545,73,12.998,9,10,2012,1
7,0,0,1,0,21.32,25.0,68,19.0012,4,9,2012,1
8,0,0,0,2,27.06,31.06,61,7.0015,4,7,2012,0
9,1,0,0,0,12.3,15.15,56,11.0014,18,2,2011,2
10,1,0,1,0,18.04,21.97,62,32.9975,15,1,2012,2
11,0,0,1,0,24.6,31.06,40,12.998,20,9,2012,0
12,1,0,0,0,18.86,22.725,38,26.0027,13,3,2011,2
13,2,0,1,0,25.42,30.305,61,15.0013,9,6,2012,0
14,1,0,1,0,13.12,15.15,39,19.9995,14,2,2012,2
15,0,0,1,3,22.96,26.515,73,12.998,23,9,2011,1
16,3,0,0,0,26.24,30.305,65,16.9979,11,10,2012,0
17,1,0,1,3,17.22,21.21,77,12.998,8,2,2011,1
18,3,0,0,0,22.96,26.515,73,6.0032,19,10,2011,1
19,2,0,1,3,27.88,31.82,65,11.0014,1,6,2012,1
20,0,0,1,3,36.9,39.395,27,8.9981,17,8,2011,0
21,0,0,1,0,27.88,31.82,62,11.0014,10,9,2011,0
22,2,0,1,2,22.96,26.515,88,8.9981,20,5,2011,1
23,0,0,1,0,29.52,34.85,74,7.0015,22,8,2012,1
24,0,0,0,0,31.16,35.605,62,8.9981,17,8,2011,0
25,3,0,0,3,10.66,12.12,56,16.9979,9,12,2011,2
26,3,0,1,3,13.94,18.18,93,0.0,7,12,2012,1
27,2,0,1,0,22.96,26.515,73,15.0013,18,5,2012,1
28,2,0,1,3,17.22,21.21,82,12.998,11,4,2011,1
29,2,0,1,0,26.24,31.06,41,31.0009,10,6,2012,0
30,0,0,1,0,31.98,35.605,49,12.998,17,7,2012,0
31,3,0,1,0,15.58,19.695,40,11.0014,14,11,2012,2
32,0,0,1,0,31.98,36.365,55,32.9975,9,7,2011,0
33,2,0,0,3,22.14,25.76,83,19.0012,2,5,2012,1
34,3,0,1,0,6.56,8.335,80,11.0014,7,12,2011,1
35,0,0,1,0,28.7,32.575,65,6.0032,7,7,2011,0
36,3,0,1,0,19.68,23.485,51,7.0015,16,11,2011,0
37,2,0,1,3,18.04,21.97,62,23.9994,12,5,2011,2
38,0,0,1,0,28.7,32.575,65,12.998,0,7,2011,0
39,3,0,1,3,16.4,20.455,94,6.0032,18,12,2012,1
40,2,0,1,0,31.98,34.09,35,0.0,13,6,2011,0
41,3,0,0,3,13.12,15.15,49,19.9995,4,11,2012,2
42,1,0,1,3,13.12,17.425,62,0.0,12,2,2011,1
