,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed
0,5/2/2012 19:00,Summer,0,1, Clear + Few clouds,22.14,25.76,77,16.9979
1,9/5/2012 4:00,Fall,0,1, Clear + Few clouds,28.7,33.335,79,19.0012
2,1/13/2011 9:00,Spring,0,1, Clear + Few clouds,5.74,6.06,50,22.0028
3,11/18/2011 16:00,Winter,0,1, Clear + Few clouds,13.94,16.665,29,8.9981
4,9/13/2011 13:00,Fall,0,1, Clear + Few clouds,30.34,33.335,51,19.0012
5,8/17/2012 17:00,Fall,0,1, Clear + Few clouds,33.62,12.12,36,22.0028
6,10/6/2012 9:00,Winter,0,0, Clear + Few clouds,24.6,29.545,73,12.998
7,9/10/2012 4:00,Fall,0,1, Clear + Few clouds,21.32,25.0,68,19.0012
8,7/14/2012 4:00,Fall,0,0," Light Snow, Light Rain",27.06,31.06,61,7.0015
9,2/6/2011 18:00,Spring,0,0, Clear + Few clouds,12.3,15.15,56,11.0014
10,1/17/2012 15:00,Spring,0,1, Clear + Few clouds,18.04,21.97,62,32.9975
11,9/10/2012 20:00,Fall,0,1, Clear + Few clouds,24.6,31.06,40,12.998
12,3/13/2011 13:00,Spring,0,0, Clear + Few clouds,18.86,22.725,38,26.0027
13,6/14/2012 9:00,Summer,0,1, Clear + Few clouds,25.42,30.305,61,15.0013
14,2/9/2012 14:00,Spring,0,1, Clear + Few clouds,13.12,15.15,39,19.9995
15,9/19/2011 23:00,Fall,0,1, Mist + Cloudy ,22.96,26.515,73,12.998
16,10/6/2012 11:00,Winter,0,0, Clear + Few clouds,26.24,30.305,65,16.9979
17,2/18/2011 8:00,Spring,0,1, Mist + Cloudy ,17.22,21.21,77,12.998
18,10/9/2011 19:00,Winter,0,0, Clear + Few clouds,22.96,26.515,73,6.0032
19,6/12/2012 1:00,Summer,0,1, Mist + Cloudy ,27.88,31.82,65,11.0014
20,8/2/2011 17:00,Fall,0,1, Mist + Cloudy ,36.9,39.395,27,8.9981
21,9/12/2011 10:00,Fall,0,1, Clear + Few clouds,27.88,31.82,62,11.0014
22,5/18/2011 20:00,Summer,0,1," Light Snow, Light Rain",22.96,26.515,88,8.9981
23,8/7/2012 22:00,Fall,0,1, Clear + Few clouds,29.52,34.85,74,7.0015
24,8/14/2011 17:00,Fall,0,0, Clear + Few clouds,31.16,35.605,62,8.9981
25,12/17/2011 9:00,Winter,0,0, Mist + Cloudy ,10.66,12.12,56,16.9979
26,12/3/2012 7:00,Winter,0,1, Mist + Cloudy ,13.94,18.18,93,0.0
27,5/2/2012 18:00,Summer,0,1, Clear + Few clouds,22.96,26.515,73,15.0013
28,4/13/2011 11:00,Summer,0,1, Mist + Cloudy ,17.22,21.21,82,12.998
29,6/4/2012 10:00,Summer,0,1, Clear + Few clouds,26.24,31.06,41,31.0009
30,7/10/2012 17:00,Fall,0,1, Clear + Few clouds,31.98,35.605,49,12.998
31,11/5/2012 14:00,Winter,0,1, Clear + Few clouds,15.58,19.695,40,11.0014
32,7/12/2011 9:00,Fall,0,1, Clear + Few clouds,31.98,36.365,55,32.9975
33,5/6/2012 2:00,Summer,0,0, Mist + Cloudy ,22.14,25.76,83,19.0012
34,12/13/2011 7:00,Winter,0,1, Clear + Few clouds,6.56,8.335,80,11.0014
35,7/5/2011 7:00,Fall,0,1, Clear + Few clouds,28.7,32.575,65,6.0032
36,11/2/2011 16:00,Winter,0,1, Clear + Few clouds,19.68,23.485,51,7.0015
37,5/4/2011 12:00,Summer,0,1, Mist + Cloudy ,18.04,21.97,62,23.9994
38,7/11/2011 0:00,Fall,0,1, Clear + Few clouds,28.7,32.575,65,12.998
39,12/17/2012 18:00,Winter,0,1, Mist + Cloudy ,16.4,20.455,94,6.0032
